what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924631593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924635204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924649397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1322924649681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1322924649681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924651977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924663583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924712775
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1322924716199
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1322924716763
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1322924717707
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1322924718284
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1322924718639
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1322924721083
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1322924722079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924735035
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1322924735261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322924735261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322924749598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322926002004
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322926052851
error,log,,,"Unhandled event loop exception",1322926085831
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1322926087838
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1322926087927
